code_color;id;copic_code;name;family
"#fffffe";76056133646;"0";"Colorless Blender";
"#252524";76056166414;"100";"Black";
"#1a1919";76056199182;"110";"Special Black";
"#e2f3f3";76056231950;"B00";"Frost Blue";"B"
"#e5f3f0";76056297486;"B000";"Pale Porcelain Blue";"B"
"#f1f9fb";76056330254;"B0000";"Pale Celestine";"B"
"#d4ecea";76056363022;"B01";"Mint Blue";"B"
"#b1dee2";76056395790;"B02";"Robin's Egg Blue";"B"
"#73c8d4";76056428558;"B04";"Tahitian Blue";"B"
"#47bed2";76056461326;"B05";"Process Blue";"B"
"#00a9ce";76056494094;"B06";"Peacock Blue";"B"
"#c7e2e5";76056526862;"B12";"Ice Blue";"B"
"#71c8da";76056559630;"B14";"Light Blue";"B"
"#00b4d4";76056592398;"B16";"Cyanine Blue";"B"
"#2181b1";76056625166;"B18";"Lapis Lazuli";"B"
"#dbecf2";76056657934;"B21";"Baby Blue";"B"
"#8fbbd6";88833851406;"B23";"Phthalo Blue";"B"
"#88c9e0";76056690702;"B24";"Sky";"B"
"#65abcd";76056756238;"B26";"Cobalt Blue";"B"
"#27639a";76056789006;"B28";"Royal Blue";"B"
"#006ea4";76056821774;"B29";"Ultramarine";"B"
"#e2eef0";76056854542;"B32";"Pale Blue";"B"
"#7ebdd8";76056887310;"B34";"Manganese Blue";"B"
"#1c668c";76056952846;"B37";"Antwerp Blue";"B"
"#305c90";76056985614;"B39";"Prussian Blue";"B"
"#e1eef4";76057018382;"B41";"Powder Blue";"B"
"#72b9d6";76057051150;"B45";"Smoky Blue";"B"
"#adc8cf";76057083918;"B52";"Soft Greenish Blue";"B"
"#d6dde7";76057116686;"B60";"Pale Blue Gray";"B"
"#a3b4ce";76057149454;"B63";"Light Hydrangea";"B"
"#6380ad";76057182222;"B66";"Clematis";"B"
"#255c93";76057214990;"B69";"Stratospheric Blue";"B"
"#364180";76057247758;"B79";"Iris";"B"
"#d3dfe2";76057280526;"B91";"Pale Grayish Blue";"B"
"#93bbcb";76057313294;"B93";"Light Crockery Blue";"B"
"#729fb3";76057346062;"B95";"Light Grayish Cobalt";"B"
"#457087";76057378830;"B97";"Night Blue";"B"
"#1c4a67";76057411598;"B99";"Agate";"B"
"#e5f2ea";76068847630;"BG000";"Pale Aqua";"BG"
"#eef6f0";76068913166;"BG0000";"Snow Green";"BG"
"#c6e3ed";76068945934;"BG01";"Aqua Blue";"BG"
"#c5e5e1";78901542926;"BG02";"New Blue";"BG"
"#82ccd3";76069077006;"BG05";"Holiday Blue";"BG"
"#24afbc";76069109774;"BG07";"Petroleum Blue";"BG"
"#00a8b5";76069175310;"BG09";"Blue Green";"BG"
"#dcefea";76069240846;"BG10";"Cool Shadow";"BG"
"#cce9e9";76069306382;"BG11";"Moon White";"BG"
"#c3e4e0";76069339150;"BG13";"Mint Green";"BG"
"#9fd3c8";76069371918;"BG15";"Aqua";"BG"
"#41b6a3";76069437454;"BG18";"Teal Blue";"BG"
"#bcdfd3";76502040590;"BG23";"Coral Sea";"BG"
"#badece";76502237198;"BG32";"Aqua Mint";"BG"
"#a1d5cc";76502532110;"BG34";"Horizon Green";"BG"
"#addad4";76502695950;"BG45";"Nile Blue";"BG"
"#00ada8";76502958094;"BG49";"Duck Blue";"BG"
"#adced0";76503220238;"BG53";"Ice Mint";"BG"
"#66bdbd";78437744654;"BG57";"Jasper";"BG"
"#dbe9ea";78437941262;"BG70";"Ocean Mist";"BG"
"#72b0ae";78438039566;"BG72";"Ice Ocean";"BG"
"#558883";78438105102;"BG75";"Abyss Green";"BG"
"#466760";76503810062;"BG78";"Bronze";"BG"
"#e4e8e2";76503941134;"BG90";"Gray Sky";"BG"
"#b6bcb0";76504137742;"BG93";"Green Gray";"BG"
"#7c9a89";76504367118;"BG96";"Bush";"BG"
"#699380";76504629262;"BG99";"Flagstone Blue";"BG"
"#ddd7e2";76505219086;"BV00";"Mauve Shadow";"BV"
"#e3dce5";78438596622;"BV000";"Iridescent Mauve";"BV"
"#e8e4eb";78438662158;"BV0000";"Pale Thistle";"BV"
"#c0c4d6";78438727694;"BV01";"Viola";"BV"
"#a6b1ca";78438793230;"BV02";"Prune";"BV"
"#778fb6";78438825998;"BV04";"Blue Berry";"BV"
"#9577a3";76506202126;"BV08";"Blue Violet";"BV"
"#cfcddb";76506333198;"BV11";"Soft Violet";"BV"
"#7d88b1";76506464270;"BV13";"Hydrangea Blue";"BV"
"#697ca5";76506595342;"BV17";"Deep Reddish Blue";"BV"
"#ccd7e4";76506660878;"BV20";"Dull Lavender";"BV"
"#aebbce";76506759182;"BV23";"Grayish Lavender";"BV"
"#7a7b95";76506857486;"BV25";"Grayish Violet";"BV"
"#333e49";76506988558;"BV29";"Slate";"BV"
"#d8dee8";76507086862;"BV31";"Pale Lavender";"BV"
"#9ea7bd";76507185166;"BV34";"Bluebell";"BV"
"#e5ebec";76507316238;"C0";"Cool Gray";"C"
"#e9eeef";76507381774;"C00";"Cool Gray";"C"
"#d9e0e1";76507512846;"C1";"Cool Gray";"C"
"#1d2123";76507578382;"C10";"Cool Gray";"C"
"#c8d3d4";111478702094;"C2";"Cool Gray";"C"
"#bbc5c8";76507643918;"C3";"Cool Gray";"C"
"#9fadb0";76507774990;"C4";"Cool Gray";"C"
"#89969a";76507873294;"C5";"Cool Gray";"C"
"#728186";76507971598;"C6";"Cool Gray";"C"
"#596669";76508102670;"C7";"Cool Gray";"C"
"#485356";88834768910;"C8";"Cool Gray";"C"
"#323b3e";88834801678;"C9";"Cool Gray";"C"
"#fff1e7";76508233742;"E00";"Cotton Pearl";"E"
"#fff3ea";76508364814;"E000";"Pale Fruit Pink";"E"
"#fff9f2";76508463118;"E0000";"Floral White";"E"
"#feecdf";76508528654;"E01";"Pink Flamingo";"E"
"#fee9db";76508692494;"E02";"Fruit Pink";"E"
"#deb8ba";76508921870;"E04";"Lipstick Natural";"E"
"#c07968";76509216782;"E07";"Light Mahogany";"E"
"#bb5e52";76509347854;"E08";"Brown";"E"
"#ca6353";76509511694;"E09";"Burnt Sienna";"E"
"#fde6d2";76509642766;"E11";"Barley Beige";"E"
"#e3c1ac";76509839374;"E13";"Light Suntan";"E"
"#f4b58e";76510134286;"E15";"Dark Suntan";"E"
"#a75953";76510232590;"E17";"Reddish Brass";"E"
"#7a4c48";76510429198;"E18";"Copper";"E"
"#b24c3f";76510593038;"E19";"Redwood";"E"
"#fbdec5";76510789646;"E21";"Soft Sun";"E"
"#eac8b0";76510920718;"E23";"Hazelnut";"E"
"#ca9e82";91556544526;"E25";"Caribe Cocoa";"E"
"#8e6e5f";76511019022;"E27";"Milk Chocolate";"E"
"#764038";76511182862;"E29";"Burnt Umber";"E"
"#F7EFD8";76511281166;"E30";"Bisque";"E"
"#f2e3cc";76511412238;"E31";"Brick Beige";"E"
"#eecdaf";76511576078;"E33";"Sand";"E"
"#ebc7a6";76511674382;"E34";"Toast";"E"
"#e1c0a3";76511772686;"E35";"Chamois";"E"
"#c08a5f";76511969294;"E37";"Sepia";"E"
"#b76b48";76512067598;"E39";"Leather";"E"
"#f4e8db";76512198670;"E40";"Brick White";"E"
"#ffeede";76512296974;"E41";"Pearl White";"E"
"#f3e8d6";80043474958;"E42";"Sand White";"E"
"#e8dabe";76512493582;"E43";"Dull Ivory";"E"
"#c1b5a4";76512591886;"E44";"Clay";"E"
"#7c6655";76512722958;"E47";"Dark Brown";"E"
"#574539";76512886798;"E49";"Dark Bark";"E"
"#f2e9ea";76512985102;"E50";"Egg Shell";"E"
"#fee8d2";76513083406;"E51";"Milky White";"E"
"#f3e4c3";76513214478;"E53";"Raw Silk";"E"
"#efdbb9";76513312782;"E55";"Light Camel";"E"
"#a67e5b";76513378318;"E57";"Light Walnut";"E"
"#907867";76513476622;"E59";"Walnut";"E"
"#f0e7e2";76513542158;"E70";"Ash Rose";"E"
"#dfd3ca";76513607694;"E71";"Champagne";"E"
"#977e74";76513673230;"E74";"Cocoa Brown";"E"
"#72584a";76513771534;"E77";"Maroon";"E"
"#3b2924";76513869838;"E79";"Cashew";"E"
"#eee4c0";76513935374;"E81";"Ivory";"E"
"#ab9d7f";76514000910;"E84";"Khaki";"E"
"#5a5127";76514033678;"E87";"Fig";"E"
"#594937";76514099214;"E89-Pecan";"E89-Pecan";"E"
"#f7cdb6";76514230286;"E93";"Tea Rose";"E"
"#f4b684";76514328590;"E95";"Tea Orange";"E"
"#e29366";76514361358;"E97";"Deep Orange";"E"
"#a4593c";76514426894;"E99";"Baked Clay";"E"
"#0085b6";76514492430;"FB2";"Fluorescent Dull Blue";"F"
"#65c5d5";76514525198;"FBG2";"Fluorescent Dull Blue Green";"F"
"#eb9db9";76514590734;"FRV1";"Fluorescent Pink";"F"
"#786d9e";76514656270;"FV2";"Fluorescent Dull Violet";"F"
"#fff5a4";76514689038;"FY1";"Fluorescent Yellow Orange";"F"
"#ccdaa4";76514754574;"FYG1";"Fluorescent Yellow Green";"F"
"#95c45d";76514885646;"FYG2";"Fluorescent Dull Yellow Green";"F"
"#f7c89c";76514918414;"FYR1";"Fluorescent Orange";"F"
"#e2f2ef";78442364942;"G00";"Jade Green";"G"
"#e9f3e9";78442397710;"G000";"Pale Green";"G"
"#f1f8f1";78442463246;"G0000";"Crystal Opal";"G"
"#cce5ce";78442528782;"G02";"Spectrum Green";"G"
"#afd39c";78442561550;"G03";"Meadow Green";"G"
"#61b67c";78442594318;"G05";"Emerald Green";"G"
"#73bb7b";78442790926;"G07";"Nile Green";"G"
"#71ba70";78442823694;"G09";"Veronese Green";"G"
"#d0e4c1";78442889230;"G12";"Sea Green";"G"
"#8fc790";78443020302;"G14";"Apple Green";"G"
"#5ab892";78443151374;"G16";"Malachite";"G"
"#00a87c";78443282446;"G17";"Forest Green";"G"
"#2cae85";78443380750;"G19";"Bright Parrot Green";"G"
"#edf3d8";78443511822;"G20";"Wax White";"G"
"#c3e0c8";78443610126;"G21";"Lime Green";"G"
"#bfdbb0";78443642894;"G24";"Willow";"G"
"#008960";78901608462;"G28";"Ocean Green";"G"
"#237056";78443839502;"G29";"Pine Tree Green";"G"
"#e4efda";78443872270;"G40";"Dim Green";"G"
"#d7e7a7";78443937806;"G43";"Pistachio";"G"
